Comment,Designator,Footprint,JLCPCB Part #
0,J12 J13 R9 R92,0805,
51,R15 R16 R89 R186,0805,C17738
150,R1 R10 R18 R27 R28 R30 R31 R47 R61 R76 R77 R103 R109 R128 R135 R137 R151 R156 R171-174,0805,C17471
300,R3 R29 R43 R79 R80 R82 R161-164,0805,C17617
499,R13 R66-71 R75 R81 R94 R97 R100 R102 R106 R108 R112 R116 R118 R121 R123-125 R127 R130 R132 R134 R136 R139 R143 R145 R148 R150 R153 R155 R158,0805,C17722
1k,R5 R12 R14 R17 R32-39 R41 R42 R44-46 R53-56 R62-65 R78 R84-88 R93 R95 R96 R98 R99 R101 R104 R105 R107 R110 R111 R113-115 R117 R119 R120 R122 R126 R131 R133 R138 R140-142 R144 R146 R147 R149 R152 R154 R157 R159 R160 R175-177 R197-200,0805,C17513
2k,R40 R72-74 R178 R179 R185 R190,0805,C17604
5.1k,R2 R19-26 R48-52 R57-60 R165-170 R180-184 R191 R192 R196,0805,C27834
10k,R8,0805,C17414
100k,R4 R6 R7,0805,C149504
1M,R83 R90,0805,
22pF,C13 C39 C42,0805,C1804
330pF,C10,0805,C51207
3.3nF,C2 C14 C15,0805,C53175
100nF,C1 C3 C4 C6 C7 C11 C12 C16 C17 C20 C22-26 C28-38 C40 C41 C43-49 C51-53 C58 C59 C62 C64 C66-86,0805,C28233
